,index,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
72,73697,20.471527777777776,45.81858161270381,-41.879,10.514,15.327999999999998,522.765109819368,278.174,-2306.4591,3147.7871999999998
73,73698,20.471805555555555,45.782568309346736,-41.778999999999996,10.544,15.472000000000003,523.7362294871348,281.789,-2307.9836999999998,3147.5553
74,73699,20.47208333333333,45.70846653520549,-41.616,10.701,15.584,524.7083270168054,285.4038,-2309.5067,3147.3212
75,73700,20.47236111111111,45.65517145954004,-41.458999999999996,10.94,15.680000000000001,525.6813918967308,289.0183,-2311.0281,3147.0849
76,73701,20.472638888888888,45.63371137656897,-41.345,11.058,15.834999999999999,526.6552969286965,292.6327,-2312.5478,3146.8463
77,73702,20.472916666666666,45.63126136761946,-41.313,11.018,15.939000000000002,527.6300908049453,296.2469,-2314.0659,3146.6054
78,73703,20.47319444444444,45.65633070013401,-41.369,10.786000000000001,16.024,528.6058513256144,299.8609,-2315.5824000000002,3146.3623
79,73704,20.47347222222222,45.70970281023494,-41.458999999999996,10.537,16.108999999999998,529.5824366507131,303.4747,-2317.0971999999997,3146.1169
80,73705,20.47375,45.82814853340685,-41.665000000000006,10.222,16.117,530.5599752486676,307.0882,-2318.6104,3145.8693
81,73706,20.474027777777774,46.013837266631,-42.019999999999996,9.718,16.035999999999998,531.5384212442237,310.7016,-2320.1218999999996,3145.6195
82,73707,20.474305555555553,46.27432111873711,-42.483,9.305,15.809000000000001,532.517756166217,314.3147,-2321.6317,3145.3675
83,73708,20.474583333333335,46.5434034101504,-42.924,8.934999999999999,15.620000000000001,533.4979640087124,317.92760000000004,-2323.1398999999997,3145.1132000000002
84,73709,20.47486111111111,46.80353646894644,-43.303,8.591,15.544,534.4790544878289,321.5402,-2324.6464,3144.8567000000003
85,73710,20.475138888888885,47.043736511888596,-43.64,8.211,15.532,535.4610205830375,325.1527,-2326.1513,3144.5978999999998
86,73711,20.475416666666664,47.25500156597183,-43.944,7.814,15.521,536.4439234721309,328.7649,-2327.6546,3144.3369
87,73712,20.475694444444443,47.40587241049362,-44.185,7.435,15.482999999999999,537.427709133576,332.3769,-2329.1562,3144.0737
88,73713,20.475972222222218,47.50512647072945,-44.351,7.103999999999999,15.467999999999998,538.4123454669368,335.9886,-2330.6562000000004,3143.8082
89,73714,20.47625,47.56069987920699,-44.456,6.8340000000000005,15.459,539.3979988292494,339.6001,-2332.1546,3143.5406
90,73715,20.476527777777775,47.56303650945763,-44.452999999999996,6.703,15.532,540.3844464175369,343.2114,-2333.6513,3143.2707
91,73716,20.47680555555555,47.49431091193976,-44.327000000000005,6.667999999999999,15.696000000000002,541.3718169277734,346.8224,-2335.1464,3142.9986
