yyyy-mm-dd,BS time,MPB time,ThetaBn (deg) (Cyril),beta_proton (Halekas),,beta_proton (Halekas),,,,Pdyn_proton,time,
2018-12-09,2:33:50,1:50:34,28.4,0.287
2018-12-11,13:45:16,14:28:41,78.9,0.321
2018-12-13,3:01:39,2:39:29,76.5,0.357
2018-12-14,7:49:56,8:31:13,25.2,0.753
2018-12-14,16:56:27,17:18:52,26.7,0.982
2018-12-16,10:05:15,9:39:42,78.7,0.401
2018-12-17,10:40:30,11:24:40,76.6,0.985
2018-12-19,4:00:12,3:39:54,23.3,0.323
2018-12-19,19:52:58,20:24:46,72,0.251
2018-12-21,2:51:27,3:22:03,74.3,0.299
2018-12-24,16:04:43,15:40:35,80.9,0.377
2020-08-03,6:54:31,6:30:54,78.3,0.437
2020-08-04,22:33:26,22:06:41,70.1,0.736
2020-08-05,3:17:48,4:01:25,26.7,0.796
2020-08-05,12:56:31,12:29:32,72.9,1.409
2020-08-06,21:18:08,20:49:33,29.8,0.765
2020-08-06,10:27:47,10:07:53,84.6,0.95
2020-08-07,4:51:38,4:03:57,79.4,0.544
2020-08-10,16:02:51,17:16:42,82.3,0.258
2020-08-14,9:23:27,8:46:29,73,0.162
2020-08-14,6:04:16,5:23:06,78.2,0.163
2020-08-14,12:52:05,12:25:12,81.2,0.184
2020-08-14,23:55:28,23:09:34,84.7,0.218
2020-08-16,16:35:35,17:04:45,24.3,0.283
2020-08-17,16:10:11,15:49:03,24.1,0.282
2020-08-17,13:58:12,14:33:26,28.1,0.333
2020-08-17,19:47:31,19:26:23,28.7,0.286
2020-08-19,22:06:39,21:49:23,80.5,0.646
2020-08-22,1:53:26,2:38:55,11.4,0.324
2020-08-22,19:47:53,20:36:23,26.5,0.643
2020-08-23,6:52:09,7:32:58,75.3,0.576
2020-08-23,23:13:44,22:57:25,81.1,0.394
2020-08-25,7:45:49,7:14:33,80.6,0.611
2020-08-25,12:37:07,13:28:46,84.4,0.535
2020-08-27,20:50:24,20:25:54,22.1,0.321
2020-08-28,4:05:59,3:35:04,11.8,0.385
2020-08-29,1:43:51,1:13:38,21.4,0.447
2020-08-29,6:53:14,7:24:29,73.9,0.62
2020-08-30,4:12:40,5:10:21,29.1,0.431
2020-09-01,6:49:43,7:25:11,22.9,0.804
2020-09-03,18:42:41,17:57:47,19.3,0.589
2020-09-04,16:13:54,15:24:07,10.7,0.246
2020-09-05,11:38:11,12:02:42,18.8,0.359
2020-09-05,6:24:50,5:58:58,77.4,0.243
2020-09-06,12:47:59,13:16:28,17.6,0.26
2020-09-06,5:36:21,6:00:52,27.4,0.367
2020-09-07,5:13:01,4:45:22,15.1,0.233
2020-09-07,12:39:35,11:52:22,28.9,0.41
2020-09-08,21:08:36,20:11:08,27.6,0.274
2020-09-08,14:52:54,15:35:03,84.9,0.167
2020-09-09,12:29:28,13:07:03,71.2,0.201
2020-09-09,8:59:48,9:39:45,78.5,0.271
2020-09-10,15:51:49,15:18:20,27.5,0.281
2020-09-10,5:21:43,4:44:23,70.3,0.213
2020-09-12,7:41:49,6:55:04,26.3,0.239
2020-09-13,8:48:12,8:00:17,13.8,0.261
2020-09-14,13:39:36,13:04:01,23.6,0.303
2020-09-14,10:19:11,9:15:11,74.9,0.223
2020-09-15,8:57:33,9:26:02,29.3,0.629
2020-09-15,16:12:19,16:38:28,29.7,0.265
2020-09-16,13:13:48,14:16:45,21.9,0.976
2020-09-18,5:33:41,5:59:36,17.4,0.302
2020-09-18,2:00:44,2:20:49,24.5,0.387
2020-09-22,9:14:19,8:30:35,24.1,0.206
