,time,mod_B,Bx,By,Bz,r_sat
134,0.03847222222222222,2.416786722075409,1.4319,-1.7747,0.8006,6170.910972479216
135,0.03875,2.4170903996334103,1.4356,-1.775,0.7942,6170.815650551764
136,0.03902777777777778,2.417930811665214,1.4422,-1.7744,0.7861,6170.7199683630715
137,0.03930555555555555,2.4176295787403,1.4499000000000002,-1.7689,0.7834,6170.623169348239
138,0.03958333333333333,2.418051331134226,1.4568,-1.7638000000000003,0.7834,6170.52799176289
139,0.039861111111111104,2.418854152279546,1.4652,-1.7594,0.7801,6170.430940716675
140,0.04013888888888889,2.4188408153493692,1.4723,-1.7534,0.7802,6170.334669561289
141,0.04041666666666667,2.419449840356274,1.4760999999999997,-1.7514,0.7794,6170.2375110790035
142,0.04069444444444445,2.421155569144618,1.4788,-1.7529,0.7762,6170.140375556446
143,0.04097222222222222,2.4239786880251235,1.4856,-1.7544,0.7686,6170.04273549682
144,0.04125,2.425636258798916,1.4889000000000001,-1.7542000000000002,0.7679,6169.945347680221
145,0.041527777777777775,2.4285952256397114,1.4887000000000001,-1.7592,0.7661999999999999,6169.847600265668
146,0.041805555555555554,2.429191663907976,1.4898000000000002,-1.7587000000000002,0.7670999999999999,6169.74934844018
147,0.04208333333333334,2.4288791756693042,1.4933,-1.7519999999999998,0.7746,6169.65134899584
148,0.04236111111111111,2.430763034522288,1.499,-1.7477,0.7792,6169.553371461581
149,0.04263888888888889,2.432668481318406,1.5003,-1.7487000000000001,0.7804000000000001,6169.454508245659
150,0.04291666666666667,2.43370713316126,1.5020999999999998,-1.751,0.7749999999999999,6169.355666769847
151,0.043194444444444445,2.4337480169483445,1.5084,-1.7478,0.7700999999999999,6169.255940159212
152,0.043472222222222225,2.4345066255814545,1.5129,-1.7469,0.7656999999999999,6169.157603352733
153,0.04375,2.435876669702307,1.5193,-1.7429000000000001,0.7665000000000001,6169.057393793584
154,0.04402777777777778,2.436670979020352,1.5211000000000001,-1.742,0.7675,6168.958193415401
155,0.044305555555555556,2.4382452768333214,1.5259,-1.7429,0.7609,6168.857877350378
156,0.04458333333333333,2.4389078744388852,1.5259,-1.7460000000000002,0.7559,6168.757813782489
157,0.044861111111111115,2.4392260534849983,1.5292999999999999,-1.7460999999999998,0.7498,6168.6572458856845
158,0.04513888888888888,2.4376984596130833,1.5284,-1.7429,0.7541,6168.556698512151
159,0.04541666666666667,2.4372902371281104,1.5323,-1.7405000000000002,0.7504000000000001,6168.456024496712
160,0.04569444444444444,2.437172135898489,1.5364000000000002,-1.7365000000000002,0.7509,6168.354613998112
161,0.04597222222222222,2.436159407756397,1.5409,-1.7313,0.7504,6168.2534558443695
162,0.04625,2.436295614247171,1.5415999999999999,-1.73,0.7524,6168.152550043498
163,0.046527777777777786,2.436786757186603,1.5475,-1.7252,0.7529,6168.050529006949
164,0.04680555555555555,2.4369429989230356,1.5487,-1.7242999999999997,0.753,6167.9487604555325
165,0.04708333333333333,2.436783014550126,1.5519,-1.7207999999999999,0.7539,6167.8466337800055
166,0.04736111111111112,2.437990161998198,1.5543,-1.7227000000000001,0.7484999999999999,6167.744613418399
167,0.04763888888888889,2.4405616689606515,1.5582000000000003,-1.7261000000000002,0.7409,6167.642235065303
168,0.04791666666666667,2.4426080753980974,1.5633999999999997,-1.7268999999999999,0.7348,6167.53911898727
169,0.04819444444444445,2.4446541084578817,1.5667000000000002,-1.7309,0.7250999999999999,6167.435644873518
170,0.04847222222222222,2.4468296324018968,1.5719999999999998,-1.729,0.7254999999999999,6167.3326570121535
171,0.04875,2.4491216160084823,1.5743,-1.7346000000000001,0.7148,6167.229687989453
172,0.049027777777777774,2.4538023025500646,1.5713,-1.7453,0.7114,6167.12621456228
173,0.049305555555555554,2.4513685932556126,1.5685,-1.7457,0.7081999999999999,6167.022383496311
174,0.04958333333333334,2.4540771401893626,1.5646,-1.7544,0.7047,6166.918048152456
175,0.04986111111111111,2.4559076753819555,1.5569,-1.7653,0.7009000000000001,6166.813730888547
176,0.050138888888888886,2.4573061958168743,1.5597999999999999,-1.7669,0.6953,6166.709290700575
177,0.05041666666666667,2.4525305686168317,1.5637,-1.7575,0.6934999999999999,6166.604956241796
178,0.050694444444444445,2.451803868583293,1.5623999999999998,-1.7578,0.6930999999999998,6166.5000296171
179,0.050972222222222224,2.4524339848403667,1.5651,-1.756,0.6938,6166.394745708536
180,0.05125,2.4529743639100676,1.5689000000000002,-1.7549000000000001,0.6899,6166.289567175179
181,0.051527777777777777,2.4507931471260482,1.5688,-1.7519,0.69,6166.184266931281
182,0.051805555555555556,2.448709131358806,1.5711999999999997,-1.7456,0.6931,6166.07799149884
183,0.05208333333333333,2.4454495762538224,1.5661,-1.7441,0.6969,6165.9715946142605
