,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
85541,23.76152777777778,2.8185311777590827,1.6290000000000002,2.0660000000000003,-1.011,5000.397035271319,4920.8613000000005,-4958.28925,-4646.58585
85542,23.761805555555558,2.8177184476096975,1.6320000000000001,2.0635000000000003,-1.0090000000000001,4999.7064935265025,4921.0208,-4958.694,-4644.7378499999995
85543,23.762083333333333,2.8167854905902936,1.6345000000000003,2.06,-1.0095,4999.015718717456,4921.17995,-4959.0984,-4642.889499999999
85544,23.76236111111111,2.8170471685791845,1.6375,2.0565,-1.0125,4998.324681575575,4921.3387,-4959.50245,-4641.040800000001
85545,23.76263888888889,2.819270739038733,1.6445,2.0490000000000004,-1.0225000000000002,4997.63340963173,4921.4971,-4959.9061,-4639.1918000000005
85546,23.762916666666666,2.8195620670593513,1.6490000000000002,2.0405,-1.0330000000000001,4996.941932481035,4921.6551500000005,-4960.3094,-4637.3425
85547,23.763194444444444,2.819162863333724,1.6510000000000002,2.034,-1.0415,4996.250222485885,4921.81285,-4960.71235,-4635.4928500000005
85548,23.763472222222223,2.818055047368664,1.6555,2.027,-1.0450000000000002,4995.558279843097,4921.9702,-4961.11495,-4633.64285
85549,23.76375,2.8174811445686734,1.6600000000000001,2.0220000000000002,-1.046,4994.866045712157,4922.127149999999,-4961.51715,-4631.7925
85550,23.764027777777777,2.8144529219725816,1.6600000000000001,2.0170000000000003,-1.0474999999999999,4994.173608745818,4922.2837500000005,-4961.9190499999995,-4629.9418
85551,23.764305555555556,2.8117135789407857,1.659,2.0140000000000002,-1.0475,4993.480908100913,4922.43995,-4962.3205499999995,-4628.0908
85552,23.764583333333334,2.806701177539212,1.6555,2.0130000000000003,-1.0414999999999999,4992.788032118376,4922.59585,-4962.7217,-4626.2395
85553,23.76486111111111,2.802580239707688,1.6520000000000004,2.0140000000000002,-1.034,4992.094923889653,4922.7514,-4963.1224999999995,-4624.38785
85554,23.76513888888889,2.7993471113815094,1.6490000000000002,2.0135,-1.0310000000000001,4991.401556021029,4922.9066,-4963.5229500000005,-4622.5358
85555,23.765416666666663,2.7930899108335203,1.6400000000000001,2.0170000000000003,-1.0215,4990.70795437244,4923.0614000000005,-4963.923049999999,-4620.6834499999995
85556,23.765694444444446,2.7912218202787114,1.6350000000000002,2.0220000000000002,-1.0145,4990.014091217248,4923.2158500000005,-4964.32275,-4618.83075
85557,23.765972222222224,2.7916251986969884,1.636,2.0225,-1.0130000000000001,4989.320023866132,4923.36995,-4964.722100000001,-4616.97775
85558,23.76625,2.7927223277655084,1.6360000000000003,2.021,-1.0190000000000001,4988.625667564292,4923.5237,-4965.12105,-4615.12435
85559,23.766527777777778,2.793101994199281,1.6325000000000003,2.0175,-1.0325000000000002,4987.93110758926,4923.67705,-4965.5197,-4613.27065
85560,23.766805555555557,2.7934239742652744,1.6285,2.015,-1.0445,4987.23631574591,4923.8301,-4965.917950000001,-4611.4166000000005
85561,23.767083333333332,2.791058983611776,1.6270000000000002,2.0085,-1.0530000000000002,4986.541290649989,4923.98275,-4966.315850000001,-4609.56225
85562,23.767361111111107,2.790886373537984,1.6285,2.0015,-1.0635000000000001,4985.846034219576,4924.13505,-4966.7134,-4607.707550000001
85563,23.76763888888889,2.7908264904862863,1.6315000000000002,1.9955000000000003,-1.07,4985.150546732222,4924.287,-4967.1106,-4605.8525
85564,23.767916666666665,2.789000672283892,1.6335000000000002,1.9905000000000002,-1.0715,4984.4548259228295,4924.4385999999995,-4967.5074,-4603.99715
85565,23.76819444444444,2.789151976856048,1.6375,1.9885000000000002,-1.0695000000000001,4983.75887408314,4924.58985,-4967.90385,-4602.14145
85566,23.768472222222222,2.787013948655443,1.6375000000000004,1.9855000000000005,-1.0695000000000001,4983.062661873464,4924.7407,-4968.29995,-4600.2854
85567,23.76875,2.7871495743859893,1.6395000000000004,1.9835,-1.0705,4982.366218846869,4924.8912,-4968.6957,-4598.429
85568,23.769027777777776,2.788971181278143,1.643,1.9809999999999999,-1.0745,4981.669515476668,4925.04135,-4969.091050000001,-4596.572249999999
85569,23.769305555555555,2.791319849103646,1.6465000000000003,1.9795000000000003,-1.078,4980.972608864358,4925.191150000001,-4969.48605,-4594.715200000001
85570,23.769583333333333,2.792555908124312,1.6505000000000003,1.9760000000000002,-1.0815000000000001,4980.27544244992,4925.34055,-4969.8807,-4592.8578
85571,23.76986111111111,2.7933349691721547,1.6520000000000004,1.9720000000000002,-1.0885000000000002,4979.578045275812,4925.48965,-4970.274950000001,-4591.000050000001
85572,23.770138888888887,2.795485020528638,1.6520000000000004,1.9695,-1.0985,4978.88038833011,4925.638349999999,-4970.66885,-4589.14195
85573,23.770416666666666,2.7984457293290506,1.6545,1.966,-1.1085,4978.182501187088,4925.7867,-4971.062400000001,-4587.2835
85574,23.770694444444445,2.799672748733323,1.655,1.9645000000000004,-1.1135000000000002,4977.484438762205,4925.9347,-4971.4556,-4585.4248
85575,23.770972222222223,2.8017358012489333,1.659,1.9635000000000002,-1.1145,4976.7860891932,4926.08235,-4971.848400000001,-4583.565700000001
85576,23.77125,2.800936182778894,1.6630000000000003,1.9635000000000002,-1.1065,4976.087537036183,4926.229649999999,-4972.24085,-4581.7063
